,left,right,cosine,dice,euclidean,jaccard,lcs,levenshtein,simpson,weighted-jaccard
51,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_arm64_darwin_clang_34392dac.json,0.882044858,0.834048438,0.709029294,0.764568627,0.568060519,0.454137658,0.955223881,0.611545237
52,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_arm64_darwin_gcc_3894c17c.json,0.945837957,0.929385135,0.883825395,0.895761819,0.802492317,0.709957499,0.971014493,0.854902426
53,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_arm64_darwin_go_293ce2f9.json,0.02463956,0.023609141,0.020567147,0.021320738,0.01471464,0.011161917,0.026608419,0.016287611
54,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_arm64_darwin_rs-pure_9d252a8f.json,0.018681782,0.017831992,0.015782239,0.016141797,0.011527286,0.008864193,0.020083933,0.012702346
55,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_arm64_darwin_rs-sys_b370b5cd.json,0.018929763,0.018089472,0.016046945,0.016399242,0.011695031,0.008972054,0.020333839,0.012954728
56,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_arm64_darwin_tgo_f357c0bc.json,0.062078702,0.05896383,0.05135749,0.052539819,0.037770452,0.028772344,0.067745197,0.040437879
57,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_arm64_linux_clang_375294fc.json,0.832182645,0.813474527,0.665516469,0.733500145,0.532460026,0.410139916,0.957142857,0.559116924
58,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_arm64_linux_gcc_a5af3ca9.json,0.741627486,0.736759581,0.654757953,0.68609106,0.59834863,0.505193633,0.807228916,0.604589573
59,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_arm64_linux_go_3b3448f2.json,0.024619106,0.023500516,0.020537517,0.021128584,0.014897802,0.011293249,0.026650756,0.016285493
60,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_arm64_linux_rs-pure_927550bd.json,0.018592536,0.017692765,0.015762312,0.016082178,0.011545367,0.00895468,0.019810763,0.012963877
61,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_arm64_linux_rs-sys_e5a5c625.json,0.018894766,0.018032168,0.016077781,0.016441866,0.011765908,0.009100831,0.02011408,0.013263611
62,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_arm64_linux_tgo_d72531be.json,0.050873069,0.048325977,0.041921599,0.043229157,0.030898331,0.024074053,0.055234955,0.032869854
63,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_arm64_windows_clang.exe_797eefb0.json,0.024448638,0.023942573,0.020815488,0.022458535,0.015852176,0.012389578,0.025798999,0.017664933
64,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_arm64_windows_gcc.exe_4b1549dd.json,0.580047181,0.577305597,0.505730476,0.539845716,0.454556264,0.379087947,0.626168224,0.459674618
65,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_arm64_windows_go.exe_ed2de88c.json,0.035583294,0.033956145,0.029979566,0.030546191,0.022036815,0.016698748,0.03852789,0.024096483
66,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_arm64_windows_msvc.exe_22595510.json,0.461376716,0.439200654,0.37169742,0.386765527,0.292617982,0.216396728,0.515384615,0.298055316
67,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_arm64_windows_rs-pure.exe_1f25dd7f.json,0.003114795,0.002996237,0.002618647,0.00271947,0.001958048,0.00153037,0.003363285,0.002134117
68,birthmarks/bzip2_amd64_darwin_gcc_61bd47af.json,birthmarks/bzip2_arm64_windows_rs-sys.exe_d6a1dc5d.json,0.003187954,0.003068535,0.002691291,0.002788219,0.002010138,0.001568959,0.003439425,0.002200133
69,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_amd64_darwin_rs-pure_b656f970.json,0.634249703,0.612980483,0.525122053,0.528124794,0.386026422,0.28646505,0.749768532,0.405603479
70,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_amd64_darwin_rs-sys_26d20788.json,0.641218738,0.62044585,0.530730322,0.534257439,0.390803093,0.290172892,0.759572573,0.409891549
71,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_amd64_darwin_tgo_6170c260.json,0.201492842,0.195925701,0.169644195,0.175672442,0.127704175,0.097872416,0.225087925,0.137000644
72,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_amd64_linux_clang_ad366643.json,0.024297462,0.023701095,0.02021926,0.021618826,0.015449423,0.012257623,0.02657288,0.016439189
73,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_amd64_linux_gcc_ccc4cf10.json,0.02691485,0.026192748,0.022866478,0.023938535,0.017381205,0.013649998,0.029308324,0.018551269
74,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_amd64_linux_go_cf343d1a.json,0.90718938,0.896820826,0.788494906,0.842495371,0.746949968,0.646903565,0.994945568,0.708014386
75,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_amd64_linux_rs-pure_f4511389.json,0.647159286,0.594647567,0.53942494,0.502517826,0.376409078,0.274414342,0.73619461,0.406317852
76,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_amd64_linux_rs-sys_9751c6e7.json,0.65636649,0.602658021,0.546891606,0.508944546,0.3814208,0.277921405,0.746651624,0.411656167
77,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_amd64_linux_tgo_cc1b5a2d.json,0.235888247,0.234869653,0.197378363,0.208288388,0.149108599,0.112815672,0.273935131,0.157501613
78,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_amd64_windows_clang.exe_fb68290e.json,0.698552637,0.672328611,0.582506894,0.580163905,0.422339837,0.310940004,0.819851504,0.450040299
79,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_amd64_windows_gcc.exe_2a5000a8.json,0.039380555,0.038114999,0.03318658,0.034345656,0.025607414,0.02006697,0.043376319,0.026938774
80,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_amd64_windows_go.exe_8d915129.json,0.843461918,0.838198482,0.729325619,0.789938016,0.67913466,0.580541299,0.908948808,0.647950449
81,birthmarks/bzip2_amd64_darwin_go_e1d42f63.json,birthmarks/bzip2_amd64_windows_msvc.exe_4eddc4d6.json,0.047442286,0.045016067,0.039659293,0.040012166,0.031119326,0.024168685,0.052364205,0.03162183
