id,left (arch),left (os),left (compiler),right (arch),right (os),right (compiler),cosine,dice,euclidean,jaccard,lcs,levenshtein,simpson,weighted-jaccard
435,amd64,windows,msvc,arm64,windows,gcc,0.700907,0.680715,0.578777,0.600848,0.453425,0.343404,0.798507,0.460543
436,amd64,windows,msvc,arm64,windows,go,0.069834,0.066803,0.058925,0.059932,0.045544,0.035378,0.077056,0.047447
437,amd64,windows,msvc,arm64,windows,msvc,0.866938,0.849793,0.739561,0.778783,0.682557,0.564190,0.970149,0.653495
438,amd64,windows,msvc,arm64,windows,rs-pure,0.006308,0.006142,0.005508,0.005709,0.004526,0.003789,0.006727,0.004739
439,amd64,windows,msvc,arm64,windows,rs-sys,0.006462,0.006305,0.005661,0.005876,0.004647,0.003891,0.006879,0.004882
44,amd64,darwin,gcc,amd64,linux,tgo,0.087117,0.083099,0.072230,0.073880,0.052289,0.039546,0.095578,0.056675
440,amd64,windows,rs-pure,amd64,windows,rs-sys,0.974958,0.974497,0.972147,0.973041,0.970934,0.968773,0.976501,0.970157
441,amd64,windows,rs-pure,arm64,darwin,clang,0.002626,0.002545,0.002263,0.002340,0.001738,0.001388,0.002811,0.001879
442,amd64,windows,rs-pure,arm64,darwin,gcc,0.002813,0.002703,0.002388,0.002455,0.001785,0.001398,0.003031,0.001928
443,amd64,windows,rs-pure,arm64,darwin,go,0.094082,0.096660,0.069088,0.086573,0.052332,0.040385,0.110597,0.051999
444,amd64,windows,rs-pure,arm64,darwin,rs-pure,0.133925,0.132245,0.111061,0.121669,0.091866,0.075048,0.146528,0.092081
445,amd64,windows,rs-pure,arm64,darwin,rs-sys,0.132481,0.130869,0.110032,0.120572,0.091126,0.074534,0.144727,0.091462
446,amd64,windows,rs-pure,arm64,darwin,tgo,0.041432,0.040897,0.037943,0.038969,0.033310,0.030059,0.043440,0.034509
447,amd64,windows,rs-pure,arm64,linux,clang,0.002835,0.002793,0.002431,0.002578,0.001894,0.001516,0.003075,0.002024
448,amd64,windows,rs-pure,arm64,linux,gcc,0.003364,0.003297,0.002891,0.003039,0.002215,0.001779,0.003646,0.002398
449,amd64,windows,rs-pure,arm64,linux,go,0.093956,0.095296,0.067195,0.084535,0.049941,0.037508,0.110421,0.049620
45,amd64,darwin,gcc,amd64,windows,clang,0.030264,0.029464,0.025725,0.027459,0.019403,0.015071,0.031935,0.021584
450,amd64,windows,rs-pure,arm64,linux,rs-pure,0.135635,0.134067,0.112341,0.123211,0.093073,0.075879,0.148548,0.092643
451,amd64,windows,rs-pure,arm64,linux,rs-sys,0.133756,0.132236,0.110980,0.121662,0.092033,0.075078,0.146308,0.091733
452,amd64,windows,rs-pure,arm64,linux,tgo,0.049861,0.049200,0.044768,0.046163,0.039088,0.034610,0.053279,0.040126
453,amd64,windows,rs-pure,arm64,windows,clang,0.104668,0.102035,0.087306,0.093091,0.071470,0.057738,0.114069,0.073366
454,amd64,windows,rs-pure,arm64,windows,gcc,0.004359,0.004248,0.003762,0.003903,0.002897,0.002329,0.004700,0.003146
455,amd64,windows,rs-pure,arm64,windows,go,0.069522,0.067948,0.055926,0.061536,0.039939,0.030587,0.076382,0.043209
456,amd64,windows,rs-pure,arm64,windows,msvc,0.005448,0.005239,0.004876,0.004892,0.003985,0.003397,0.005710,0.004257
457,amd64,windows,rs-pure,arm64,windows,rs-pure,0.845721,0.833697,0.796069,0.803578,0.788596,0.742052,0.874995,0.775571
458,amd64,windows,rs-pure,arm64,windows,rs-sys,0.827332,0.815990,0.778517,0.786933,0.769508,0.723524,0.855624,0.757820
459,amd64,windows,rs-sys,arm64,darwin,clang,0.002688,0.002614,0.002314,0.002408,0.001783,0.001427,0.002879,0.001921
46,amd64,darwin,gcc,amd64,windows,gcc,0.564969,0.568131,0.491691,0.540791,0.468789,0.405854,0.603604,0.452955
460,amd64,windows,rs-sys,arm64,darwin,gcc,0.002881,0.002779,0.002444,0.002530,0.001832,0.001436,0.003104,0.001974
461,amd64,windows,rs-sys,arm64,darwin,go,0.096401,0.098849,0.070906,0.088457,0.053683,0.041440,0.113260,0.053352
462,amd64,windows,rs-sys,arm64,darwin,rs-pure,0.137126,0.135266,0.113704,0.124346,0.094013,0.076776,0.150054,0.094221
463,amd64,windows,rs-sys,arm64,darwin,rs-sys,0.135653,0.133879,0.112665,0.123260,0.093282,0.076274,0.148210,0.093606
464,amd64,windows,rs-sys,arm64,darwin,tgo,0.042428,0.041870,0.038865,0.039889,0.034129,0.030788,0.044485,0.035353
465,amd64,windows,rs-sys,arm64,linux,clang,0.002903,0.002866,0.002489,0.002650,0.001945,0.001555,0.003149,0.002074
466,amd64,windows,rs-sys,arm64,linux,gcc,0.003444,0.003383,0.002959,0.003120,0.002268,0.001823,0.003733,0.002456
467,amd64,windows,rs-sys,arm64,linux,go,0.096276,0.097428,0.068954,0.086329,0.051243,0.038508,0.113079,0.050894
468,amd64,windows,rs-sys,arm64,linux,rs-pure,0.138883,0.137184,0.115064,0.125996,0.095276,0.077675,0.152123,0.094878
469,amd64,windows,rs-sys,arm64,linux,rs-sys,0.136966,0.135334,0.113688,0.124453,0.094224,0.076873,0.149829,0.093964
47,amd64,darwin,gcc,amd64,windows,go,0.026596,0.025496,0.022428,0.023021,0.016469,0.012598,0.028805,0.018117
470,amd64,windows,rs-sys,arm64,linux,tgo,0.051068,0.050373,0.045868,0.047257,0.040024,0.035432,0.054561,0.041113
471,amd64,windows,rs-sys,arm64,windows,clang,0.107190,0.104486,0.089490,0.095322,0.073217,0.059133,0.116814,0.075184
472,amd64,windows,rs-sys,arm64,windows,gcc,0.004463,0.004354,0.003852,0.004002,0.002968,0.002386,0.004813,0.003221
473,amd64,windows,rs-sys,arm64,windows,go,0.071230,0.069499,0.057373,0.062890,0.040983,0.031387,0.078221,0.044349
474,amd64,windows,rs-sys,arm64,windows,msvc,0.005578,0.005380,0.004987,0.005034,0.004085,0.003478,0.005847,0.004346
475,amd64,windows,rs-sys,arm64,windows,rs-pure,0.863797,0.850816,0.810970,0.818215,0.801172,0.751999,0.896051,0.787565
476,amd64,windows,rs-sys,arm64,windows,rs-sys,0.846638,0.834764,0.796680,0.804510,0.788961,0.741924,0.876214,0.776207
