euclidean,arm64_linux_gcc,arm64_linux_tgo,amd64_linux_gcc,amd64_linux_tgo,0.052286,0.082716,FOUND
euclidean,arm64_linux_gcc,arm64_windows_clang,amd64_linux_gcc,amd64_windows_clang,0.025543,0.028792,FOUND
euclidean,arm64_linux_gcc,arm64_windows_gcc,amd64_linux_gcc,amd64_windows_gcc,0.679490,0.580106,FOUND
euclidean,arm64_linux_gcc,arm64_windows_go,amd64_linux_gcc,amd64_windows_go,0.036878,0.025576,FOUND
euclidean,arm64_linux_gcc,arm64_windows_msvc,amd64_linux_gcc,amd64_windows_msvc,0.454639,0.411621,FOUND
euclidean,arm64_linux_gcc,arm64_windows_rs-pure,amd64_linux_gcc,amd64_windows_rs-pure,0.003286,0.002656,FOUND
euclidean,arm64_linux_gcc,arm64_windows_rs-sys,amd64_linux_gcc,amd64_windows_rs-sys,0.003359,0.002717,FOUND
euclidean,arm64_linux_go,arm64_linux_rs-pure,amd64_linux_go,amd64_linux_rs-pure,0.444515,0.552247,FOUND
euclidean,arm64_linux_go,arm64_linux_rs-sys,amd64_linux_go,amd64_linux_rs-sys,0.447636,0.559989,FOUND
euclidean,arm64_linux_go,arm64_linux_tgo,amd64_linux_go,amd64_linux_tgo,0.232483,0.201172,FOUND
euclidean,arm64_linux_go,arm64_windows_clang,amd64_linux_go,amd64_windows_clang,0.506254,0.578229,FOUND
euclidean,arm64_linux_go,arm64_windows_gcc,amd64_linux_go,amd64_windows_gcc,0.032769,0.033700,FOUND
euclidean,arm64_linux_go,arm64_windows_go,amd64_linux_go,amd64_windows_go,0.543274,0.863671,FOUND
euclidean,arm64_linux_go,arm64_windows_msvc,amd64_linux_go,amd64_windows_msvc,0.041288,0.040557,FOUND
euclidean,arm64_linux_go,arm64_windows_rs-pure,amd64_linux_go,amd64_windows_rs-pure,0.076440,0.087551,FOUND
euclidean,arm64_linux_go,arm64_windows_rs-sys,amd64_linux_go,amd64_windows_rs-sys,0.078143,0.089687,FOUND
euclidean,arm64_linux_rs-pure,arm64_linux_rs-sys,amd64_linux_rs-pure,amd64_linux_rs-sys,0.977790,0.978781,FOUND
euclidean,arm64_linux_rs-pure,arm64_linux_tgo,amd64_linux_rs-pure,amd64_linux_tgo,0.245975,0.146227,FOUND
euclidean,arm64_linux_rs-pure,arm64_windows_clang,amd64_linux_rs-pure,amd64_windows_clang,0.550531,0.430053,FOUND
euclidean,arm64_linux_rs-pure,arm64_windows_gcc,amd64_linux_rs-pure,amd64_windows_gcc,0.024969,0.025283,FOUND
euclidean,arm64_linux_rs-pure,arm64_windows_go,amd64_linux_rs-pure,amd64_windows_go,0.373784,0.509258,FOUND
euclidean,arm64_linux_rs-pure,arm64_windows_msvc,amd64_linux_rs-pure,amd64_windows_msvc,0.031051,0.029631,FOUND
euclidean,arm64_linux_rs-pure,arm64_windows_rs-pure,amd64_linux_rs-pure,amd64_windows_rs-pure,0.129164,0.112475,FOUND
euclidean,arm64_linux_rs-pure,arm64_windows_rs-sys,amd64_linux_rs-pure,amd64_windows_rs-sys,0.132080,0.115254,FOUND
euclidean,arm64_linux_rs-sys,arm64_linux_tgo,amd64_linux_rs-sys,amd64_linux_tgo,0.249619,0.148600,FOUND
euclidean,arm64_linux_rs-sys,arm64_windows_clang,amd64_linux_rs-sys,amd64_windows_clang,0.558884,0.435858,FOUND
euclidean,arm64_linux_rs-sys,arm64_windows_gcc,amd64_linux_rs-sys,amd64_windows_gcc,0.025352,0.025668,FOUND
euclidean,arm64_linux_rs-sys,arm64_windows_go,amd64_linux_rs-sys,amd64_windows_go,0.377651,0.516755,FOUND
euclidean,arm64_linux_rs-sys,arm64_windows_msvc,amd64_linux_rs-sys,amd64_windows_msvc,0.031579,0.030125,FOUND
