id,ta,,,tb,,,cosin,dic,euclidea,jaccar,lc,levenshtei,simpso,weighted-jaccar
88,amd64,darwin,go,arm64,linux,clang,0.027733,0.026704,0.023733,0.02438,0.018156,0.014466,0.029945,0.019267
89,amd64,darwin,go,arm64,linux,gcc,0.033166,0.032006,0.027689,0.029124,0.02089,0.016347,0.03585,0.022101
90,amd64,darwin,go,arm64,linux,go,0.822779,0.871408,0.693626,0.81181,0.634584,0.513038,0.95798,0.600874
91,amd64,darwin,go,arm64,linux,rs-pure,0.620577,0.598619,0.510268,0.520359,0.367913,0.275361,0.718921,0.392722
92,amd64,darwin,go,arm64,linux,rs-sys,0.629482,0.606752,0.51731,0.527056,0.373223,0.279307,0.729538,0.397774
93,amd64,darwin,go,arm64,linux,tgo,0.245735,0.236298,0.206188,0.212384,0.154009,0.118905,0.27035,0.166829
94,amd64,darwin,go,arm64,windows,clang,0.793081,0.768683,0.612527,0.653047,0.46062,0.341982,0.95973,0.471856
95,amd64,darwin,go,arm64,windows,go,0.664027,0.68198,0.547806,0.642819,0.470063,0.37442,0.730915,0.463762
96,amd64,darwin,go,arm64,windows,msvc,0.264082,0.248918,0.220528,0.219719,0.165157,0.127154,0.292282,0.175383
97,amd64,darwin,go,arm64,windows,rs-pure,0.436817,0.42928,0.357052,0.371147,0.268453,0.203174,0.518802,0.276828
98,amd64,darwin,go,arm64,windows,rs-sys,0.442739,0.434606,0.361443,0.375616,0.272373,0.206305,0.525721,0.280552
99,amd64,darwin,rs-pure,amd64,darwin,rs-sys,0.984104,0.983097,0.978048,0.98096,0.975277,0.971922,0.986803,0.974067
100,amd64,darwin,rs-pure,amd64,darwin,tgo,0.123677,0.120324,0.105557,0.110706,0.073416,0.055689,0.132573,0.086067
101,amd64,darwin,rs-pure,amd64,linux,clang,0.018785,0.018238,0.016105,0.016648,0.012297,0.009797,0.020396,0.013297
102,amd64,darwin,rs-pure,amd64,linux,gcc,0.020028,0.019229,0.01727,0.017498,0.012879,0.01017,0.021596,0.01416
103,amd64,darwin,rs-pure,amd64,linux,go,0.655091,0.62618,0.541984,0.54452,0.394752,0.297029,0.751937,0.42059
104,amd64,darwin,rs-pure,amd64,linux,rs-pure,0.811903,0.844466,0.692716,0.758673,0.687735,0.586141,0.963057,0.614545
105,amd64,darwin,rs-pure,amd64,linux,rs-sys,0.804121,0.836413,0.68577,0.751121,0.675712,0.574189,0.950025,0.605794
106,amd64,darwin,rs-pure,amd64,linux,tgo,0.152088,0.150617,0.127067,0.136694,0.09225,0.070535,0.169766,0.1029
107,amd64,darwin,rs-pure,amd64,windows,clang,0.567257,0.547987,0.47246,0.491026,0.35777,0.273382,0.629274,0.382182
108,amd64,darwin,rs-pure,amd64,windows,gcc,0.030617,0.029632,0.025982,0.026919,0.019737,0.015376,0.033293,0.021384
109,amd64,darwin,rs-pure,amd64,windows,go,0.609147,0.608192,0.495967,0.520239,0.350744,0.255845,0.746551,0.371729
110,amd64,darwin,rs-pure,amd64,windows,msvc,0.037269,0.036102,0.031808,0.033104,0.024814,0.019888,0.040192,0.026568
111,amd64,darwin,rs-pure,amd64,windows,rs-pure,0.586022,0.588092,0.50897,0.54839,0.48996,0.42889,0.656299,0.460899
112,amd64,darwin,rs-pure,amd64,windows,rs-sys,0.590499,0.591875,0.510207,0.550588,0.488729,0.426823,0.662955,0.46013
113,amd64,darwin,rs-pure,arm64,darwin,clang,0.017945,0.017391,0.015197,0.015989,0.01156,0.009101,0.019196,0.012487
114,amd64,darwin,rs-pure,arm64,darwin,gcc,0.016789,0.016253,0.014156,0.014899,0.01057,0.00818,0.017996,0.011501
115,amd64,darwin,rs-pure,arm64,darwin,go,0.579348,0.602642,0.437536,0.519968,0.309031,0.22189,0.730954,0.340006
116,amd64,darwin,rs-pure,arm64,darwin,rs-pure,0.938083,0.928383,0.8615,0.893118,0.789163,0.700432,0.975705,0.816787
117,amd64,darwin,rs-pure,arm64,darwin,rs-sys,0.927088,0.916932,0.850846,0.881961,0.777064,0.688851,0.964007,0.804975
